word,syllable1,syllable2
bagual,ba,gual
baguim,ba,guim
baia,bai,a
baiá,bai,á
baião,bai,ão
baião,bai,ão
baiar,bai,ar
baicar,bai,car
baila,bai,la
bailão,bai,lão
bailão,bai,lão
bailar,bai,lar
baile,bai,le
bailéu,bai,léu
baio,bai,o
baio,bai,o
bairro,bair,ro
baita,bai,ta
baite,bai,te
baixa,bai,xa
baixão,bai,xão
baixar,bai,xar
baixel,bai,xel
baixo,bai,xo
baixo,bai,xo
baixo,bai,xo
bajar,ba,jar
baju,ba,ju
bala,ba,la
balão,ba,lão
balar,ba,lar
balba,bal,ba
balbo,bal,bo
balbo,bal,bo
balça,bal,ça
balção,bal,ção
balcão,bal,cão
balchão,bal,chão
balço,bal,ço
balda,bal,da
balda,bal,da
baldão,bal,dão
baldar,bal,dar
baldas,bal,das
baldas,bal,das
baldas,bal,das
balde,bal,de
baldo,bal,do
baldréu,bal,dréu
balé,ba,lé
balha,ba,lha
balhão,ba,lhão
balhar,ba,lhar
balhe,ba,lhe
balho,ba,lho
balir,ba,lir
ballet,bal,let
balmaz,bal,maz
balo,ba,lo
balsa,bal,sa
balsão,bal,são
balsar,bal,sar
balso,bal,so
baltar,bal,tar
bamba,bam,ba
bambá,bam,bá
bamba,bam,ba
bamba,bam,ba
bambão,bam,bão
bambar,bam,bar
bambê,bam,bê
bâmbi,bâm,bi
bambi,bam,bi
bambô,bam,bô
bambo,bam,bo
bambu,bam,bu
banal,ba,nal
banca,ban,ca
bançá,ban,çá
bancá,ban,cá
bancal,ban,cal
bancar,ban,car
banco,ban,co
banda,ban,da
banda,ban,da
bandar,ban,dar
bandel,ban,del
bandó,ban,dó
bando,ban,do
banga,ban,ga
bangão,ban,gão
bangão,ban,gão
bango,ban,go
bango,ban,go
bangue,ban,gue
bangué,ban,gué
bangué,ban,gué
banguê,ban,guê
bangué,ban,gué
banha,ba,nha
banhar,ba,nhar
banho,ba,nho
banhos,ba,nhos
banhum,ba,nhum
banhum,ba,nhum
banir,ba,nir
banja,ban,ja
banjo,ban,jo
banta,ban,ta
banto,ban,to
banto,ban,to
bantu,ban,tu
bantu,ban,tu
bantu,ban,tu
banza,ban,za
banzão,ban,zão
banzar,ban,zar
banzé,ban,zé
banzo,ban,zo
banzo,ban,zo
banzos,ban,zos
bapta,bap,ta
baque,ba,que
barão,ba,rão
barba,bar,ba
barbal,bar,bal
barbar,bar,bar
barbas,bar,bas
barbas,bar,bas
barbo,bar,bo
barbos,bar,bos
barça,bar,ça
barca,bar,ca
barceu,bar,ceu
barceu,bar,ceu
barco,bar,co
barda,bar,da
bardar,bar,dar
bardeu,bar,deu
bardeu,bar,deu
bardo,bar,do
baré,ba,ré
bare,ba,re
baré,ba,ré
baré,ba,ré
barga,bar,ga
bari,ba,ri
bari,ba,ri
bari,ba,ri
baril,ba,ril
baril,ba,ril
baril,ba,ril
baril,ba,ril
barman,bar,man
barra,bar,ra
barra,bar,ra
barral,bar,ral
barrão,bar,rão
barrar,bar,rar
barril,bar,ril
barrir,bar,rir
barro,bar,ro
baru,ba,ru
basal,ba,sal
basar,ba,sar
basca,bas,ca
basco,bas,co
basco,bas,co
base,ba,se
bases,ba,ses
basic,ba,sic
basim,ba,sim
basse,bas,se
basso,bas,so
basso,bas,so
basta,bas,ta
basta,bas,ta
bastão,bas,tão
bastão,bas,tão
bastar,bas,tar
bastir,bas,tir
basto,bas,to
basto,bas,to
basto,bas,to
bastos,bas,tos
bata,ba,ta
batão,ba,tão
bate,ba,te
batel,ba,tel
bater,ba,ter
bato,ba,to
batom,ba,tom
bâton,bâ,ton
batum,ba,tum
batum,ba,tum
batum,ba,tum
baú,ba,ú
bau-bau,bau,bau
bauá,bau,á
baumé,bau,mé
baumê,bau,mê
baxá,ba,xá
báxi,bá,xi
báxi,bá,xi
baza,ba,za
bazar,ba,zar
bazar,ba,zar
bazé,ba,zé
bdelar,bde,lar
bebas,be,bas
bebê,be,bê
bebê,be,bê
bebé,be,bé
bebé,be,bé
bebê,be,bê
bebé,be,bé
beber,be,ber
beber,be,ber
bebes,be,bes
bebop,be,bop
bebra,be,bra
bebum,be,bum
beça,be,ça
beca,be,ca
beca,be,ca
beçá,be,çá
beco,be,co
bedel,be,del
bedém,be,dém
bedro,be,dro
bedum,be,dum
beeper,bee,per
befa,be,fa
bege,be,ge
bege,be,ge
beguê,be,guê
béguin,bé,guin
begum,be,gum
beiça,bei,ça
beiço,bei,ço
beija,bei,ja
beijar,bei,jar
beijo,bei,jo
beiju,bei,ju
beilhó,bei,lhó
beilhó,bei,lhó
beira,bei,ra
beirã,bei,rã
beiral,bei,ral
beirão,bei,rão
beirão,bei,rão
beirar,bei,rar
beiro,bei,ro
bela,be,la
belaz,be,laz
beldar,bel,dar
beldro,bel,dro
belê,be,lê
belém,be,lém
belfa,bel,fa
belfas,bel,fas
belfo,bel,fo
belfo,bel,fo
belga,bel,ga
belga,bel,ga
belga,bel,ga
belhó,be,lhó
belho,be,lho
belho,be,lho
beliz,be,liz
beliz,be,liz
beliz,be,liz
belo,be,lo
belo,be,lo
belo,be,lo
beltrão,bel,trão
belver,bel,ver
bem-bom,bem,bom
bemba,bem,ba
bemol,be,mol
bênção,bên,ção
benco,ben,co
bencu,ben,cu
bengo,ben,go
bengue,ben,gue
benta,ben,ta
bentém,ben,tém
bento,ben,to
bento,ben,to
bentos,ben,tos
benzer,ben,zer
benzol,ben,zol
beque,be,que
bera,be,ra
berbim,ber,bim
berça,ber,ça
berço,ber,ço
berma,ber,ma
bernás,ber,nás
berne,ber,ne
bernês,ber,nês
bernês,ber,nês
berra,ber,ra
berrão,ber,rão
berrar,ber,rar
berro,ber,ro
bespa,bes,pa
besso,bes,so
besso,bes,so
besta,bes,ta
besta,bes,ta
bestar,bes,tar
beta,be,ta
beta,be,ta
betão,be,tão
betar,be,tar
bete,be,te
bétel,bé,tel
betle,be,tle
beto,be,to
beto,be,to
betol,be,tol
betral,be,tral
betre,be,tre
betu,be,tu
béu-béu,béu,béu
béu-béu,béu,béu
bibe,bi,be
bibi,bi,bi
bibó,bi,bó
bibo,bi,bo
bibói,bi,bói
bibra,bi,bra
biça,bi,ça
bica,bi,ca
bical,bi,cal
bical,bi,cal
bical,bi,cal
bicão,bi,cão
bicão,bi,cão
bicar,bi,car
bíceps,bí,ceps
bicha,bi,cha
bichão,bi,chão
bichar,bi,char
bicho,bi,cho
bico,bi,co
bico,bi,co
bico de gás,bi,co degás
bida,bi,da
bidão,bi,dão
bidê,bi,dê
bidé,bi,dé
bidon,bi,don
bifar,bi,far
bife,bi,fe
biflor,bi,flor
big-bang,big,bang
biga,bi,ga
bigle,bi,gle
biguá,bi,guá
biguar,bi,guar
bijou,bi,jou
biju,bi,ju
bila,bi,la
bilar,bi,lar
bile,bi,le
bilha,bi,lha
bilhão,bi,lhão
bilhão,bi,lhão
bilhar,bi,lhar
bilhó,bi,lhó
bilhó,bi,lhó
bílis,bí,lis
bilrar,bil,rar
bilro,bil,ro
biltra,bil,tra
biltre,bil,tre
biltre,bil,tre
bimba,bim,ba
bimbar,bim,bar
bimbo,bim,bo
bime,bi,me
bimo,bi,mo
binar,bi,nar
binda,bin,da
binde,bin,de
binga,bin,ga
bingo,bin,go
bingo,bin,go
bio,bi,o
bipé,bi,pé
bipe,bi,pe
bipper,bip,per
bira,bi,ra
birba,bir,ba
biri,bi,ri
birmã,bir,mã
birmã,bir,mã
birmã,bir,mã
biró,bi,ró
birra,bir,ra
birrar,bir,rar
birre,bir,re
birro,bir,ro
biru,bi,ru
bisão,bi,são
bisar,bi,sar
bisbi,bis,bi
bisca,bis,ca
biscar,bis,car
bisco,bis,co
bisel,bi,sel
bisga,bis,ga
bisma,bis,ma
bisnau,bis,nau
bisnau,bis,nau
bispal,bis,pal
bispar,bis,par
bispo,bis,po
bissa,bis,sa
bissel,bis,sel
bisso,bis,so
bistre,bis,tre
bita,bi,ta
bitar,bi,tar
bitmap,bit,map
bitu,bi,tu
biurá,biu,rá
blablá,bla,blá
blackout,blac,kout
blague,bla,gue
blapse,blap,se
blasé,bla,sé
blasto,blas,to
blazer,bla,zer
blefar,ble,far
blefe,ble,fe
bleima,blei,ma
blêiser,blêi,ser
blêizer,blêi,zer
blenda,blen,da
bleso,ble,so
blindar,blin,dar
blindas,blin,das
blister,blis,ter
blitzkrieg,blitz,krieg
blocar,blo,car
bloco,blo,co
blogue,blo,gue
bluco,blu,co
blue-jeans,blue,jeans
blufo,blu,fo
blusa,blu,sa
blusão,blu,são
boa,bo,a
boá,bo,á
boal,bo,al
boba,bo,ba
bobar,bo,bar
bóbi,bó,bi
bobo,bo,bo
bobô,bo,bô
bobo,bo,bo
bobó,bo,bó
bobsleigh,bob,sleigh
boca,bo,ca
boça,bo,ça
boca,bo,ca
boçal,bo,çal
boçal,bo,çal
bocal,bo,cal
boçal,bo,çal
bocar,bo,car
boçar,bo,çar
bocas,bo,cas
bocas,bo,cas
bocel,bo,cel
bocha,bo,cha
boche,bo,che
boche,bo,che
boche,bo,che
bocim,bo,cim
bocó,bo,có
bocó,bo,có
bocó,bo,có
boda,bo,da
bode,bo,de
bódi,bó,di
bodo,bo,do
bodum,bo,dum
body,bo,dy
bóer,bó,er
bóer,bó,er
bóer,bó,er
bôer,bô,er
bôer,bô,er
bôer,bô,er
bofá,bo,fá
bofa,bo,fa
bofar,bo,far
bofé,bo,fé
bofe,bo,fe
bofé,bo,fé
bofes,bo,fes
boga,bo,ga
bogar,bo,gar
bogó,bo,gó
boia,boi,a
boiá,boi,á
boião,boi,ão
boiar,boi,ar
boibi,boi,bi
boiça,boi,ça
boiçar,boi,çar
boina,boi,na
boirel,boi,rel
boita,boi,ta
boîte,boî,te
boiz,bo,iz
boiz,bo,iz
bojar,bo,jar
bojo,bo,jo
bola,bo,la
bolão,bo,lão
bolar,bo,lar
bolar,bo,lar
bolas,bo,las
bolas,bo,las
bolas,bo,las
bolbo,bol,bo
bolçar,bol,çar
bolco,bol,co
boldo,bol,do
boléu,bo,léu
bolha,bo,lha
bolha,bo,lha
bolhão,bo,lhão
bolhar,bo,lhar
bolo,bo,lo
bolor,bo,lor
bolsa,bol,sa
bolsa,bol,sa
bolsão,bol,são
bolsar,bol,sar
bolsim,bol,sim
bolso,bol,so
bom de bico,bomdebi,co
bom-é,bom,é
bom-tom,bom,tom
bomba,bom,ba
bombar,bom,bar
bômbax,bôm,bax
bômbix,bôm,bix
bombó,bom,bó
bombo,bom,bo
bombô,bom,bô
bombom,bom,bom
bonçar,bon,çar
bonda,bon,da
bondar,bon,dar
bonde,bon,de
bondo,bon,do
bondo,bon,do
bondo,bon,do
boné,bo,né
bonga,bon,ga
bonga,bon,ga
bonga,bon,ga
bongar,bon,gar
bongó,bon,gó
bongô,bon,gô
bongue,bon,gue
bonhar,bo,nhar
bonsai,bon,sai
bônus,bô,nus
bónus,bó,nus
bonzão,bon,zão
bonzo,bon,zo
boque,bo,que
boquim,bo,quim
bora,bo,ra
bórax,bó,rax
borcar,bor,car
borco,bor,co
borda,bor,da
bordão,bor,dão
bordar,bor,dar
bordeaux,bor,deaux
bordeaux,bor,deaux
bordel,bor,del
bordéus,bor,déus
bordô,bor,dô
bordô,bor,dô
bordo,bor,do
boré,bo,ré
borga,bor,ga
bori,bo,ri
borja,bor,ja
borla,bor,la
bornal,bor,nal
borne,bor,ne
bornéu,bor,néu
bornéu,bor,néu
borno,bor,no
boro,bo,ro
borra,bor,ra
borrão,bor,rão
borrar,bor,rar
borro,bor,ro
bosão,bo,são
bosca,bos,ca
bosi,bo,si
bosque,bos,que
bossa,bos,sa
bosse,bos,se
bosta,bos,ta
bostal,bos,tal
bostar,bos,tar
bóston,bós,ton
bota,bo,ta
botão,bo,tão
botar,bo,tar
bote,bo,te
botim,bo,tim
boto,bo,to
boto,bo,to
bouba,bou,ba
bouça,bou,ça
bouçar,bou,çar
boucha,bou,cha
boucim,bou,cim
bouga,bou,ga
bouquet,bou,quet
bowling,bow,ling
boxa,bo,xa
boxar,bo,xar
boxe,bo,xe
boxe,bo,xe
boxer,bo,xer
bóxer,bó,xer
boxers,bo,xers
boxeur,bo,xeur
boyfriend,boy,friend
boysband,boys,band
bozó,bo,zó
brabo,bra,bo
braça,bra,ça
braçal,bra,çal
braçal,bra,çal
bracel,bra,cel
braço,bra,ço
brada,bra,da
bradal,bra,dal
bradar,bra,dar
brado,bra,do
braga,bra,ga
bragal,bra,gal
bragas,bra,gas
braguês,bra,guês
braguês,bra,guês
braile,brai,le
braille,brail,le
bralha,bra,lha
bralhar,bra,lhar
bramá,bra,má
bramá,bra,má
brama,bra,ma
bramá,bra,má
bramar,bra,mar
brame,bra,me
brame,bra,me
brame,bra,me
brami,bra,mi
bramir,bra,mir
branca,bran,ca
brancal,bran,cal
brançal,bran,çal
branco,bran,co
branco,bran,co
brancor,bran,cor
branda,bran,da
brandal,bran,dal
brandão,bran,dão
brande,bran,de
brandir,bran,dir
brando,bran,do
brando,bran,do
brandy,bran,dy
branquir,bran,quir
branza,bran,za
brasa,bra,sa
brasão,bra,são
brasar,bra,sar
brasil,bra,sil
brasil,bra,sil
brasis,bra,sis
brava,bra,va
bravar,bra,var
bravo,bra,vo
bravo,bra,vo
bravo,bra,vo
breal,bre,al
breal,bre,al
brear,bre,ar
breba,bre,ba
breca,bre,ca
brecar,bre,car
brecha,bre,cha
brechão,bre,chão
bredo,bre,do
brefo,bre,fo
brega,bre,ga
brega,bre,ga
bregal,bre,gal
breger,bre,ger
bregma,breg,ma
bregmal,breg,mal
brejal,bre,jal
brejão,bre,jão
brejo,bre,jo
brelho,bre,lho
brema,bre,ma
brenha,bre,nha
breque,bre,que
bretã,bre,tã
bretão,bre,tão
bretão,bre,tão
brete,bre,te
breuno,breu,no
breuno,breu,no
breve,bre,ve
breve,bre,ve
breve,bre,ve
breve,bre,ve
brevê,bre,vê
brevet,bre,vet
breza,bre,za
breza,bre,za
brial,bri,al
briba,bri,ba
brica,bri,ca
briche,bri,che
brida,bri,da
bridão,bri,dão
bridar,bri,dar
bridge,brid,ge
brie,bri,e
briefing,brie,fing
briga,bri,ga
brigão,bri,gão
brigão,bri,gão
brigar,bri,gar
brigue,bri,gue
brilha,bri,lha
brilha,bri,lha
brilhar,bri,lhar
brilho,bri,lho
brinça,brin,ça
brinca,brin,ca
brincão,brin,cão
brincão,brin,cão
brincar,brin,car
brinco,brin,co
brindão,brin,dão
brindar,brin,dar
brinde,brin,de
brio,bri,o
briol,bri,ol
bríon,brí,on
brique,bri,que
brique,bri,que
brisa,bri,sa
brisa,bri,sa
brístol,brís,tol
brita,bri,ta
britar,bri,tar
brive,bri,ve
brives,bri,ves
briza,bri,za
broa,bro,a
broça,bro,ça
broca,bro,ca
brocal,bro,cal
brocão,bro,cão
brocar,bro,car
brocha,bro,cha
brochar,bro,char
broche,bro,che
brocho,bro,cho
broco,bro,co
broco,bro,co
broda,bro,da
broker,bro,ker
brolhar,bro,lhar
brolho,bro,lho
broma,bro,ma
broma,bro,ma
broma,bro,ma
bromar,bro,mar
bromo,bro,mo
bronca,bron,ca
bronco,bron,co
bronze,bron,ze
broque,bro,que
broquel,bro,quel
broquim,bro,quim
brossa,bros,sa
brossar,bros,sar
brota,bro,ta
brotar,bro,tar
brote,bro,te
broto,bro,to
browser,brow,ser
broxa,bro,xa
broxa,bro,xa
broxar,bro,xar
bruar,bru,ar
bruco,bru,co
bruços,bru,ços
bruges,bru,ges
brulha,bru,lha
brulho,bru,lho
bruma,bru,ma
brumal,bru,mal
brumbrum,brum,brum
brunch,brun,ch
brunho,bru,nho
brunir,bru,nir
bruno,bru,no
brusca,brus,ca
brusco,brus,co
brushing,bru,shing
brussa,brus,sa
bruta,bru,ta
brutal,bru,tal
brutaz,bru,taz
bruto,bru,to
bruto,bru,to
bruxa,bru,xa
bruxar,bru,xar
bruxo,bru,xo
bua,bu,a
buba,bu,ba
bubal,bu,bal
bubão,bu,bão
bubu,bu,bu
buca,bu,ca
buçal,bu,çal
bucal,bu,cal
bucha,bu,cha
bucha,bu,cha
bucha,bu,cha
buchim,bu,chim
bucho,bu,cho
bucil,bu,cil
bucim,bu,cim
bucle,bu,cle
buço,bu,ço
bucre,bu,cre
buçu,bu,çu
buda,bu,da
budget,bud,get
budu,bu,du
bué,bu,é
bué,bu,é
bué,bu,é
bufa,bu,fa
bufão,bu,fão
bufar,bu,far
bufê,bu,fê
buffer,buf,fer
buffet,buf,fet
bufo,bu,fo
bufo,bu,fo
búfri,bú,fri
bugle,bu,gle
bugre,bu,gre
bugre,bu,gre
bugre,bu,gre
búgui,bú,gui
buir,bu,ir
buitra,bui,tra
buitre,bui,tre
bujão,bu,jão
bujé,bu,jé
bujé,bu,jé
bujé,bu,jé
buji,bu,ji
bula,bu,la
bular,bu,lar
bulbar,bul,bar
bulbo,bul,bo
bulcão,bul,cão
bule,bu,le
bule,bu,le
bulha,bu,lha
bulhão,bu,lhão
bulhão,bu,lhão
bulhar,bu,lhar
buli,bu,li
bulir,bu,lir
bulldog,bull,dog
bumba,bum,ba
bumbar,bum,bar
bumbo,bum,bo
bumbum,bum,bum
bume,bu,me
bunda,bun,da
bunda,bun,da
bundar,bun,dar
bundo,bun,do
bungá,bun,gá
bunhar,bu,nhar
bunho,bu,nho
bunker,bun,ker
búnquer,bún,quer
buquê,bu,quê
buque,bu,que
burca,bur,ca
burdo,bur,do
buré,bu,ré
bureau,bu,reau
burel,bu,rel
burgar,bur,gar
burgau,bur,gau
burgo,bur,go
burguês,bur,guês
burguês,bur,guês
buri,bu,ri
buril,bu,ril
burka,bur,ka
burla,bur,la
burlão,bur,lão
burlão,bur,lão
burlar,bur,lar
burnu,bur,nu
burnus,bur,nus
buro,bu,ro
buro,bu,ro
burra,bur,ra
burrão,bur,rão
burrar,bur,rar
burro,bur,ro
burro,bur,ro
bursa,bur,sa
busca,bus,ca
busca,bus,ca
busca,bus,ca
buscar,bus,car
business,busi,ness
busto,bus,to
buta,bu,ta
buta,bu,ta
bute,bu,te
buxal,bu,xal
buxo,bu,xo
buza,bu,za
búzi,bú,zi
buzo,bu,zo
bye-bye,bye,bye
bypass,by,pass
byte,by,te
cá-vai,cá,vai
caã,ca,ã
caã,ca,ã
caã,ca,ã
caba,ca,ba
cabal,ca,bal
cabás,ca,bás
cabaz,ca,baz
cabe,ca,be
caber,ca,ber
cablar,ca,blar
cabo,ca,bo
cabo,ca,bo
caboz,ca,boz
cabra,ca,bra
cabra,ca,bra
cabra,ca,bra
